# z	H_screen	phi	psi	H_target
4.269611018531712432e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 1.584220197533177270e+02
4.263786812772055868e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 1.581040616419564060e+02
4.257970370031255669e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 1.577867434708754502e+02
4.252161679962070195e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 1.574700639463879099e+02
4.246360732231051571e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 1.571540217774413577e+02
4.240567516518520819e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 1.568386156756121181e+02
4.234782022518557909e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 1.565238443551002661e+02
4.229004239938979737e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 1.562097065327240841e+02
4.223234158501320223e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 1.558962009279144922e+02
4.217471767940810423e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 1.555833262627096758e+02
4.211717058006367154e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 1.552710812617500267e+02
4.205970018460570969e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 1.549594646522726009e+02
4.200230639079646977e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 1.546484751641057755e+02
4.194498909653443519e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 1.543381115296635926e+02
4.188774819985424358e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 1.540283724839411832e+02
4.183058359892638833e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 1.537192567645086285e+02
4.177349519205715467e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 1.534107631115064976e+02
4.171648287768827856e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 1.531028902676395376e+02
4.165954655439694676e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 1.527956369781723538e+02
4.160268612089551254e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 1.524890019909237537e+02
4.154590147603127548e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 1.521829840562610343e+02
4.148919251878643877e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 1.518775819270957470e+02
4.143255914827781083e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 1.515727943588775872e+02
4.137600126375670584e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 1.512686201095896195e+02
4.131951876460863815e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 1.509650579397426498e+02
4.126311155035331524e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 1.506621066123705930e+02
4.120677952064435345e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 1.503597648930249022e+02
4.115052257526910751e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 1.500580315497694528e+02
4.109434061414847150e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 1.497569053531751422e+02
4.103823353733680790e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 1.494563850763154278e+02
4.098220124502165618e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 1.491564694947604153e+02
4.092624363752356942e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 1.488571573865720552e+02
