# z	ratio	Geff/GN	alpha_B
4.771543086172344572e-01 1.006621229348343860e+00 1.013286299374771104e+00 1.608984793292120019e-01
4.800601202404809476e-01 1.006620130702550187e+00 1.013284087535619271e+00 1.608958847289750638e-01
4.829659318637274379e-01 1.006618603154181280e+00 1.013281012216075139e+00 1.608922772393608369e-01
4.858717434869739282e-01 1.006616654366028429e+00 1.013277088847056362e+00 1.608876749782152671e-01
4.887775551102204186e-01 1.006614290697166902e+00 1.013272330235760466e+00 1.608820929898058250e-01
4.916833667334669089e-01 1.006611518955323969e+00 1.013266750093544610e+00 1.608755473829488747e-01
4.945891783567133992e-01 1.006608345924697057e+00 1.013260362085254496e+00 1.608680542155854487e-01
4.974949899799598896e-01 1.006604778313555215e+00 1.013253179723681674e+00 1.608596293707501845e-01
5.004008016032064354e-01 1.006600822754866176e+00 1.013245216370773472e+00 1.608502885577708374e-01
5.033066132264528703e-01 1.006596485806759533e+00 1.013236485238517837e+00 1.608400473130941200e-01
5.062124248496994161e-01 1.006591773953021240e+00 1.013226999389890137e+00 1.608289210011926984e-01
5.091182364729458509e-01 1.006586693603551019e+00 1.013216771739729127e+00 1.608169248153945297e-01
5.120240480961923968e-01 1.006581251094886831e+00 1.013205815055747694e+00 1.608040737788793972e-01
5.149298597194389426e-01 1.006575452690696704e+00 1.013194141959480987e+00 1.607903827456069745e-01
5.178356713426853775e-01 1.006569304582297875e+00 1.013181764927290729e+00 1.607758664013188565e-01
5.207414829659319233e-01 1.006562812889193914e+00 1.013168696291406379e+00 1.607605392645889697e-01
5.236472945891783581e-01 1.006555983659585873e+00 1.013154948240916564e+00 1.607444156878228281e-01
5.265531062124249040e-01 1.006548822870944049e+00 1.013140532822883078e+00 1.607275098584073081e-01
5.294589178356713388e-01 1.006541336430522904e+00 1.013125461943343186e+00 1.607098357997335247e-01
5.323647294589178847e-01 1.006533530175948377e+00 1.013109747368456715e+00 1.606914073723968162e-01
5.352705410821643195e-01 1.006525409875742350e+00 1.013093400725531223e+00 1.606722382752594769e-01
5.381763527054108653e-01 1.006516981229927721e+00 1.013076433504206619e+00 1.606523420467058372e-01
5.410821643286573002e-01 1.006508249870554428e+00 1.013058857057486328e+00 1.606317320657215386e-01
5.439879759519038460e-01 1.006499221362316510e+00 1.013040682602949438e+00 1.606104215531917179e-01
5.468937875751502808e-01 1.006489901203087678e+00 1.013021921223801192e+00 1.605884235730151433e-01
5.497995991983968267e-01 1.006480294824539934e+00 1.013002583870092899e+00 1.605657510334190519e-01
5.527054108216433725e-01 1.006470407592694016e+00 1.012982681359803516e+00 1.605424166881213588e-01
5.556112224448898074e-01 1.006460244808526694e+00 1.012962224380039578e+00 1.605184331376311446e-01
5.585170340681363532e-01 1.006449811708551856e+00 1.012941223488179388e+00 1.604938128304924938e-01
5.614228456913827880e-01 1.006439113465398050e+00 1.012919689113016330e+00 1.604685680645281942e-01
5.643286573146293339e-01 1.006428155188425322e+00 1.012897631555977229e+00 1.604427109881788605e-01
5.672344689378757687e-01 1.006416941924280328e+00 1.012875060992220133e+00 1.604162536017031127e-01
5.701402805611223146e-01 1.006405478657520058e+00 1.012851987471871995e+00 1.603892077585454268e-01
5.730460921843687494e-01 1.006393770311188707e+00 1.012828420921169759e+00 1.603615851665956549e-01
5.759519038076152952e-01 1.006381821747400540e+00 1.012804371143616766e+00 1.603333973894702780e-01
5.788577154308617301e-01 1.006369637767958292e+00 1.012779847821211554e+00 1.603046558478809780e-01
