# z	H	phi	psi
4.533594264608713331e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
4.524331710445638066e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
4.515087672126794160e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
4.505862112639010064e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
4.496654995043104464e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
4.487466282473738488e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
4.478295938139268628e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
4.469143925321596100e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
4.460010207376020475e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
4.450894747731098278e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
4.441797509888487383e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
4.432718457422806324e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
4.423657553981493606e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
4.414614763284651389e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
4.405590049124902663e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
4.396583375367258384e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
4.387594705948956175e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
4.378624004879320353e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
4.369671236239631185e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
4.360736364182961466e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
4.351819352934042939e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
4.342920166789126313e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
4.334038770115832051e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
4.325175127353007554e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
4.316329203010587889e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
4.307500961669457240e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
4.298690367981296134e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
4.289897386668448576e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
4.281121982523782776e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
4.272364120410539812e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
4.263623765262200038e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
4.254900882082348801e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
4.246195435944520113e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
4.237507391992069472e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
4.228836715438033877e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
4.220183371564985464e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
4.211547325724896496e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
4.202928543339004364e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
4.194326989897666635e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
4.185742630960222499e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
4.177175432154866996e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
4.168625359178495415e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
4.160092377796578234e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
4.151576453843023273e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
4.143077553220033593e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
4.134595641897971063e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
4.126130685915230600e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
4.117682651378089531e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
4.109251504460578275e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
4.100837211404353155e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
4.092439738518545767e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
4.084059052179636495e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
4.075695118831324493e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
4.067347904984382012e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
4.059017377216529354e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
4.050703502172294890e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
4.042406246562890715e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
4.034125577166067700e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
4.025861460825987592e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
4.017613864453096539e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
4.009382755023980849e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
4.001168099581241222e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
3.992969865233364857e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
3.984788019154584759e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
3.976622528584751137e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
3.968473360829207053e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
3.960340483258649869e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
3.952223863308999796e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
3.944123468481278394e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
3.936039266341468590e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
3.927971224520388915e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
3.919919310713563476e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
3.911883492681099739e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
3.903863738247542869e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
3.895860015301762047e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
3.887872291796817592e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
3.879900535749828805e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
3.871944715241848911e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
3.864004798417740005e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
3.856080753486040891e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
3.848172548718837760e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
