# z	phi_prime_sq	E2	dE2_dz
5.019343868773754741e-02 -1.394790571772915322e-01 1.038667620114600343e+00 8.305454531525094941e-01
5.079335867173435243e-02 -1.390399965589115272e-01 1.039166313604220404e+00 8.319879205533541322e-01
5.139327865573115051e-02 -1.386021089466605849e-01 1.039665872506049027e+00 8.334305453782910877e-01
5.199319863972794858e-02 -1.381653916531331572e-01 1.040166296914722732e+00 8.348733282782569987e-01
5.259311862372474666e-02 -1.377298419958353226e-01 1.040667586925269728e+00 8.363162699033717118e-01
5.319303860772154474e-02 -1.372954572971787912e-01 1.041169742633106576e+00 8.377593709029405034e-01
5.379295859171834282e-02 -1.368622348844739378e-01 1.041672764134040419e+00 8.392026319254546340e-01
5.439287857571514784e-02 -1.364301720899248893e-01 1.042176651524266084e+00 8.406460536185912380e-01
5.499279855971194592e-02 -1.359992662506218364e-01 1.042681404900367426e+00 8.420896366292169866e-01
5.559271854370874399e-02 -1.355695147085365093e-01 1.043187024359315540e+00 8.435333816033863119e-01
5.619263852770554207e-02 -1.351409148105145730e-01 1.043693509998469438e+00 8.449772891863431834e-01
5.679255851170234015e-02 -1.347134639082704644e-01 1.044200861915574485e+00 8.464213600225231060e-01
5.739247849569914517e-02 -1.342871593583810641e-01 1.044709080208762852e+00 8.478655947555533423e-01
5.799239847969594325e-02 -1.338619985222795905e-01 1.045218164976552400e+00 8.493099940282533566e-01
5.859231846369274133e-02 -1.334379787662492711e-01 1.045728116317846235e+00 8.507545584826370355e-01
5.919223844768953940e-02 -1.330150974614174308e-01 1.046238934331932713e+00 8.521992887599125766e-01
5.979215843168633748e-02 -1.325933519837499130e-01 1.046750619118484327e+00 8.536441855004832657e-01
6.039207841568314250e-02 -1.321727397140440574e-01 1.047263170777557706e+00 8.550892493439503639e-01
6.099199839967994058e-02 -1.317532580379234264e-01 1.047776589409592729e+00 8.565344809291113304e-01
6.159191838367673866e-02 -1.313349043458313659e-01 1.048290875115412746e+00 8.579798808939637089e-01
6.219183836767353674e-02 -1.309176760330256484e-01 1.048806027996222801e+00 8.594254498757026850e-01
6.279175835167033481e-02 -1.305015704995711179e-01 1.049322048153610520e+00 8.608711885107250827e-01
6.339167833566713983e-02 -1.300865851503349713e-01 1.049838935689545227e+00 8.623170974346293649e-01
6.399159831966393097e-02 -1.296727173949803746e-01 1.050356690706376828e+00 8.637631772822156329e-01
