# phi[M_Pl]	V[H0^2*Mpl^2]	V[GeV^4]	V[eV^4]
7.321476074556299007e-04 1.987852032926265222e+00 5.894381334351977191e-43 5.894381334351977658e-07
7.423201523974465310e-04 1.987828820637866034e+00 5.894312505245383400e-43 5.894312505245383736e-07
7.525351198772595174e-04 1.987805652928552158e+00 5.894243808324748986e-43 5.894243808324749389e-07
7.627922426646505105e-04 1.987782529764836603e+00 5.894175243490778123e-43 5.894175243490778002e-07
7.730912569598458184e-04 1.987759451113253917e+00 5.894106810644238710e-43 5.894106810644238607e-07
7.834319023175412289e-04 1.987736416940360185e+00 5.894038509685964758e-43 5.894038509685964822e-07
7.938139215731138121e-04 1.987713427212730366e+00 5.893970340516842053e-43 5.893970340516842145e-07
8.042370607710958019e-04 1.987690481896955408e+00 5.893902303037807361e-43 5.893902303037807956e-07
8.147010690958689239e-04 1.987667580959652902e+00 5.893834397149874713e-43 5.893834397149874809e-07
8.252056988045097796e-04 1.987644724367458426e+00 5.893766622754110711e-43 5.893766622754111371e-07
8.357507051615642446e-04 1.987621912087024212e+00 5.893698979751635326e-43 5.893698979751636076e-07
8.463358463758896555e-04 1.987599144085025360e+00 5.893631468043630662e-43 5.893631468043630884e-07
8.569608835392733548e-04 1.987576420328158289e+00 5.893564087531346525e-43 5.893564087531346577e-07
8.676255805669247367e-04 1.987553740783135625e+00 5.893496838116078923e-43 5.893496838116079463e-07
8.783297041396326277e-04 1.987531105416693977e+00 5.893429719699194758e-43 5.893429719699194674e-07
8.890730236476990234e-04 1.987508514195587717e+00 5.893362732182115095e-43 5.893362732182115574e-07
8.998553111363855050e-04 1.987485967086590533e+00 5.893295875466315164e-43 5.893295875466315291e-07
9.106763412529278456e-04 1.987463464056496765e+00 5.893229149453334717e-43 5.893229149453334714e-07
9.215358911951188059e-04 1.987441005072123623e+00 5.893162554044780414e-43 5.893162554044780380e-07
9.324337406612231982e-04 1.987418590100303417e+00 5.893096089142304319e-43 5.893096089142304350e-07
9.433696718013501181e-04 1.987396219107890660e+00 5.893029754647621424e-43 5.893029754647621158e-07
9.543434691701435657e-04 1.987373892061759184e+00 5.892963550462506460e-43 5.892963550462506746e-07
9.653549196807775790e-04 1.987351608928805691e+00 5.892897476488801866e-43 5.892897476488801640e-07
9.764038125601726126e-04 1.987329369675943314e+00 5.892831532628397873e-43 5.892831532628398251e-07
9.874899393054470398e-04 1.987307174270104948e+00 5.892765718783245250e-43 5.892765718783245103e-07
9.986130936414788772e-04 1.987285022678245028e+00 5.892700034855356897e-43 5.892700034855357424e-07
1.009773071479674877e-03 1.987262914867338193e+00 5.892634480746803859e-43 5.892634480746804442e-07
1.020969670877711066e-03 1.987240850804377290e+00 5.892569056359715332e-43 5.892569056359715735e-07
1.032202692000452893e-03 1.987218830456376706e+00 5.892503761596282642e-43 5.892503761596283350e-07
1.043471937081735801e-03 1.987196853790367257e+00 5.892438596358743315e-43 5.892438596358743802e-07
1.054777210387256026e-03 1.987174920773404851e+00 5.892373560549413732e-43 5.892373560549414076e-07
1.066118318178335689e-03 1.987153031372562717e+00 5.892308654070658867e-43 5.892308654070658801e-07
1.077495068676645462e-03 1.987131185554929624e+00 5.892243876824889096e-43 5.892243876824889194e-07
1.088907272029773776e-03 1.987109383287623654e+00 5.892179228714604007e-43 5.892179228714604352e-07
1.100354740277656451e-03 1.987087624537773989e+00 5.892114709642334255e-43 5.892114709642334075e-07
1.111837287319866752e-03 1.987065909272532016e+00 5.892050319510678200e-43 5.892050319510678045e-07
1.123354728883696474e-03 1.987044237459071994e+00 5.891986058222301113e-43 5.891986058222301588e-07
1.134906882493000313e-03 1.987022609064584167e+00 5.891921925679913666e-43 5.891921925679913442e-07
1.146493567437803507e-03 1.987001024056280540e+00 5.891857921786293444e-43 5.891857921786293281e-07
1.158114604744645004e-03 1.986979482401392660e+00 5.891794046444276975e-43 5.891794046444276899e-07
1.169769817147614521e-03 1.986957984067168503e+00 5.891730299556746985e-43 5.891730299556747732e-07
1.181459029060111243e-03 1.986936529020882025e+00 5.891666681026662670e-43 5.891666681026663333e-07
1.193182066547185394e-03 1.986915117229821615e+00 5.891603190757029427e-43 5.891603190757029959e-07
1.204938757298643082e-03 1.986893748661298087e+00 5.891539828650916374e-43 5.891539828650916337e-07
1.216728930602664627e-03 1.986872423282639133e+00 5.891476594611444406e-43 5.891476594611444131e-07
1.228552417320116774e-03 1.986851141061195758e+00 5.891413488541801327e-43 5.891413488541801711e-07
1.240409049859392265e-03 1.986829901964337619e+00 5.891350510345233091e-43 5.891350510345233563e-07
1.252298662151832276e-03 1.986808705959451249e+00 5.891287659925032645e-43 5.891287659925032876e-07
1.264221089627745598e-03 1.986787553013946495e+00 5.891224937184565425e-43 5.891224937184565895e-07
1.276176169192927423e-03 1.986766443095250967e+00 5.891162342027245452e-43 5.891162342027245455e-07
1.288163739205705483e-03 1.986745376170811372e+00 5.891099874356547290e-43 5.891099874356547915e-07
1.300183639454499662e-03 1.986724352208094624e+00 5.891037534076003646e-43 5.891037534076003635e-07
1.312235711135881222e-03 1.986703371174588506e+00 5.890975321089210156e-43 5.890975321089210735e-07
1.324319796833103857e-03 1.986682433037798567e+00 5.890913235299811844e-43 5.890913235299811807e-07
1.336435740495092728e-03 1.986661537765250118e+00 5.890851276611515860e-43 5.890851276611516146e-07
1.348583387415905332e-03 1.986640685324489564e+00 5.890789444928091489e-43 5.890789444928091279e-07
1.360762584214636473e-03 1.986619875683080627e+00 5.890727740153358196e-43 5.890727740153358732e-07
1.372973178815697914e-03 1.986599108808609460e+00 5.890666162191201559e-43 5.890666162191201442e-07
1.385215020429639288e-03 1.986578384668679087e+00 5.890604710945558933e-43 5.890604710945559521e-07
1.397487959534191027e-03 1.986557703230913852e+00 5.890543386320430600e-43 5.890543386320431312e-07
1.409791847855876301e-03 1.986537064462956081e+00 5.890482188219867819e-43 5.890482188219868099e-07
1.422126538351872749e-03 1.986516468332466090e+00 5.890421116547978406e-43 5.890421116547978342e-07
1.434491885192387683e-03 1.986495914807131724e+00 5.890360171208949034e-43 5.890360171208948851e-07
1.446887743743241472e-03 1.986475403854648381e+00 5.890299352106991069e-43 5.890299352106991844e-07
1.459313970548908879e-03 1.986454935442740100e+00 5.890238659146400312e-43 5.890238659146401070e-07
1.471770423315879595e-03 1.986434509539147131e+00 5.890178092231517964e-43 5.890178092231517921e-07
1.484256960896351840e-03 1.986414126111629930e+00 5.890117651266749751e-43 5.890117651266750495e-07
1.496773443272231274e-03 1.986393785127967826e+00 5.890057336156553169e-43 5.890057336156553474e-07
1.509319731539504605e-03 1.986373486555956802e+00 5.889997146805436698e-43 5.889997146805436599e-07
1.521895687892849125e-03 1.986353230363419264e+00 5.889937083117990062e-43 5.889937083117990080e-07
1.534501175610603063e-03 1.986333016518190275e+00 5.889877144998834053e-43 5.889877144998834830e-07
1.547136059040027378e-03 1.986312844988126658e+00 5.889817332352659557e-43 5.889817332352659526e-07
1.559800203582803468e-03 1.986292715741108772e+00 5.889757645084225167e-43 5.889757645084225899e-07
1.572493475680863950e-03 1.986272628745026081e+00 5.889698083098316559e-43 5.889698083098316860e-07
1.585215742802473238e-03 1.986252583967799357e+00 5.889638646299813401e-43 5.889638646299813785e-07
1.597966873428599555e-03 1.986232581377359807e+00 5.889579334593624037e-43 5.889579334593624519e-07
1.610746737039481236e-03 1.986212620941663287e+00 5.889520147884730094e-43 5.889520147884729966e-07
1.623555204101526095e-03 1.986192702628680973e+00 5.889461086078162582e-43 5.889461086078162909e-07
1.636392146054418961e-03 1.986172826406408021e+00 5.889402149079017831e-43 5.889402149079018601e-07
