# z	phi[M_Pl]	V[Mpl^4_nat]	V(z)_nat
2.967007700770076806e+00 9.283355048527029696e-02 1.987736416940360185e+00 2.108774449513607152e+00
2.966707770777077258e+00 9.282792799405220618e-02 1.987713427212730366e+00 2.108760346492825732e+00
2.966407840784078154e+00 9.282230499345707486e-02 1.987690481896955408e+00 2.108746242572003382e+00
2.966107910791079050e+00 9.281668148327329448e-02 1.987667580959652902e+00 2.108732137750351399e+00
2.965807980798079502e+00 9.281105746328914552e-02 1.987644724367458426e+00 2.108718032027024236e+00
2.965508050805080398e+00 9.280543293329283905e-02 1.987621912087024212e+00 2.108703925401233192e+00
2.965208120812080850e+00 9.279980789307240574e-02 1.987599144085025360e+00 2.108689817872168248e+00
2.964908190819081746e+00 9.279418234241584851e-02 1.987576420328158289e+00 2.108675709439054913e+00
2.964608260826082198e+00 9.278855628111101761e-02 1.987553740783135625e+00 2.108661600101033429e+00
2.964308330833083094e+00 9.278292970894566616e-02 1.987531105416693977e+00 2.108647489857300883e+00
2.964008400840083546e+00 9.277730262570742237e-02 1.987508514195587717e+00 2.108633378707082784e+00
2.963708470847084442e+00 9.277167503118384506e-02 1.987485967086590533e+00 2.108619266649572666e+00
2.963408540854085338e+00 9.276604692516236816e-02 1.987463464056496765e+00 2.108605153683924982e+00
2.963108610861085790e+00 9.276041830743028682e-02 1.987441005072123623e+00 2.108591039809361689e+00
2.962808680868086686e+00 9.275478917777484067e-02 1.987418590100303417e+00 2.108576925025062110e+00
2.962508750875087138e+00 9.274915953598313056e-02 1.987396219107890660e+00 2.108562809330226884e+00
2.962208820882088034e+00 9.274352938184214634e-02 1.987373892061759184e+00 2.108548692724060203e+00
2.961908890889088486e+00 9.273789871513878069e-02 1.987351608928805691e+00 2.108534575205723627e+00
2.961608960896089382e+00 9.273226753565982916e-02 1.987329369675943314e+00 2.108520456774410690e+00
2.961309030903089834e+00 9.272663584319194852e-02 1.987307174270104948e+00 2.108506337429354005e+00
2.961009100910090730e+00 9.272100363752172614e-02 1.987285022678245028e+00 2.108492217169697369e+00
2.960709170917091626e+00 9.271537091843562450e-02 1.987262914867338193e+00 2.108478095994673396e+00
2.960409240924092078e+00 9.270973768571995344e-02 1.987240850804377290e+00 2.108463973903447197e+00
2.960109310931092974e+00 9.270410393916100888e-02 1.987218830456376706e+00 2.108449850895219413e+00
2.959809380938093426e+00 9.269846967854489250e-02 1.987196853790367257e+00 2.108435726969204893e+00
2.959509450945094322e+00 9.269283490365763656e-02 1.987174920773404851e+00 2.108421602124543881e+00
2.959209520952094774e+00 9.268719961428516230e-02 1.987153031372562717e+00 2.108407476360479649e+00
2.958909590959095670e+00 9.268156381021329382e-02 1.987131185554929624e+00 2.108393349676159545e+00
2.958609660966096566e+00 9.267592749122771645e-02 1.987109383287623654e+00 2.108379222070837500e+00
2.958309730973097018e+00 9.267029065711401836e-02 1.987087624537773989e+00 2.108365093543639546e+00
